TimeStamp, Temperature, Pressure, Humidity, Wind Speed,  Wind direction
 2021/10/23 9:45:24, 15.77, 57.41, 1001.59, 0.0, 94.0
 2021/10/23 9:45:25, 15.76, 57.49, 1001.58, 0.0, 96.0
 2021/10/23 9:45:26, 15.74, 57.55, 1001.58, 0.0, 80.0
 2021/10/23 9:45:27, 15.72, 57.65, 1001.56, 0.0, 357.0
 2021/10/23 9:45:28, 15.7, 57.72, 1001.54, 0.0, 1.0
 2021/10/23 9:45:29, 15.71, 57.77, 1001.57, 0.0, 1.0
 2021/10/23 9:45:30, 15.72, 57.8, 1001.59, 0.0, 1.0
 2021/10/23 9:45:31, 15.72, 57.82, 1001.55, 0.0, 0.0
 2021/10/23 9:45:32, 15.74, 57.86, 1001.6, 0.0, 1.0
 2021/10/23 9:45:33, 15.75, 57.91, 1001.59, 0.0, 2.0
 2021/10/23 9:45:34, 15.75, 57.95, 1001.58, 0.0, 0.0
 2021/10/23 9:45:35, 15.77, 57.98, 1001.57, 0.0, 1.0
 2021/10/23 9:45:36, 15.77, 58.01, 1001.55, 0.0, 3.0
 2021/10/23 9:45:37, 15.78, 58.02, 1001.57, 0.0, 1.0
 2021/10/23 9:45:38, 15.79, 58.01, 1001.51, 0.0, 1.0
 2021/10/23 9:45:39, 15.81, 57.99, 1001.5, 0.0, 1.0
 2021/10/23 9:45:40, 15.81, 57.99, 1001.47, 0.0, 2.0
 2021/10/23 9:45:41, 15.82, 57.99, 1001.53, 0.0, 3.0
 2021/10/23 9:45:42, 15.81, 58.01, 1001.55, 0.0, 2.0
 2021/10/23 9:45:43, 15.8, 58.03, 1001.53, 0.0, 2.0
 2021/10/23 9:45:44, 15.8, 58.07, 1001.54, 0.0, 1.0
 2021/10/23 9:45:45, 15.79, 58.12, 1001.59, 0.0, 1.0
 2021/10/23 9:45:46, 15.78, 58.16, 1001.58, 0.0, 1.0
 2021/10/23 9:45:47, 15.77, 58.19, 1001.56, 0.0, 1.0
 2021/10/23 9:45:48, 15.77, 58.2, 1001.59, 0.0, 2.0
 2021/10/23 9:45:49, 15.75, 58.18, 1001.58, 0.0, 2.0
 2021/10/23 9:45:50, 15.75, 58.21, 1001.57, 0.0, 1.0
 2021/10/23 9:45:51, 15.75, 58.24, 1001.58, 0.0, 1.0
 2021/10/23 9:45:52, 15.76, 58.24, 1001.57, 0.0, 4.0
 2021/10/23 9:45:53, 15.76, 58.22, 1001.57, 0.0, 1.0
 2021/10/23 9:45:54, 15.77, 58.19, 1001.58, 0.0, 1.0
 2021/10/23 9:45:55, 15.78, 58.11, 1001.56, 0.0, 3.0
 2021/10/23 9:45:56, 15.79, 58.09, 1001.51, 0.0, 2.0
 2021/10/23 9:45:57, 15.8, 58.1, 1001.5, 0.0, 2.0
 2021/10/23 9:45:58, 15.81, 58.1, 1001.54, 0.0, 2.0
 2021/10/23 9:45:59, 15.83, 58.11, 1001.52, 0.0, 2.0
 2021/10/23 9:46:0, 15.84, 58.06, 1001.55, 0.0, 1.0
 2021/10/23 9:46:1, 15.85, 58.02, 1001.53, 0.0, 2.0
 2021/10/23 9:46:2, 15.87, 58.0, 1001.55, 0.0, 2.0
 2021/10/23 9:46:3, 15.87, 58.0, 1001.51, 0.0, 2.0
 2021/10/23 9:46:4, 15.88, 57.98, 1001.54, 0.0, 2.0
 2021/10/23 9:46:5, 15.9, 57.97, 1001.52, 0.0, 0.0
 2021/10/23 9:46:6, 15.88, 57.99, 1001.53, 0.0, 2.0
 2021/10/23 9:46:7, 15.88, 57.98, 1001.53, 0.0, 3.0
 2021/10/23 9:46:9, 15.88, 58.0, 1001.52, 0.0, 2.0
 2021/10/23 9:46:10, 15.87, 58.05, 1001.54, 0.0, 2.0
 2021/10/23 9:46:11, 15.86, 58.16, 1001.54, 0.0, 4.0
 2021/10/23 9:46:12, 15.85, 58.3, 1001.57, 0.0, 1.0
 2021/10/23 9:46:13, 15.84, 58.24, 1001.55, 0.0, 3.0
 2021/10/23 9:46:14, 15.8, 58.07, 1001.57, 0.0, 1.0
 2021/10/23 9:46:15, 15.79, 57.98, 1001.55, 0.0, 1.0
 2021/10/23 9:46:16, 15.79, 57.95, 1001.58, 0.0, 3.0
 2021/10/23 9:46:17, 15.77, 57.97, 1001.53, 0.0, 3.0
 2021/10/23 9:46:18, 15.79, 58.02, 1001.58, 0.0, 2.0
 2021/10/23 9:46:19, 15.8, 58.07, 1001.59, 0.0, 2.0
 2021/10/23 9:46:20, 15.8, 58.16, 1001.57, 0.0, 1.0
 2021/10/23 9:46:21, 15.79, 58.23, 1001.6, 0.0, 2.0
 2021/10/23 9:46:22, 15.79, 58.3, 1001.64, 0.0, 2.0
 2021/10/23 9:46:23, 15.78, 58.36, 1001.61, 0.0, 2.0
 2021/10/23 9:46:24, 15.77, 58.42, 1001.62, 0.0, 1.0
 2021/10/23 9:46:25, 15.78, 58.44, 1001.58, 0.0, 1.0
 2021/10/23 9:46:26, 15.77, 58.5, 1001.59, 0.0, 2.0
 2021/10/23 9:46:27, 15.78, 58.54, 1001.57, 0.0, 2.0
 2021/10/23 9:46:28, 15.78, 58.57, 1001.57, 0.0, 3.0
 2021/10/23 9:46:29, 15.77, 58.61, 1001.59, 0.0, 1.0
 2021/10/23 9:46:30, 15.77, 58.69, 1001.55, 0.0, 1.0
 2021/10/23 9:46:31, 15.77, 58.76, 1001.58, 0.0, 3.0
 2021/10/23 9:46:32, 15.76, 58.81, 1001.58, 0.0, 1.0
 2021/10/23 9:46:33, 15.77, 58.85, 1001.59, 0.0, 2.0
 2021/10/23 9:46:34, 15.77, 58.92, 1001.58, 0.0, 2.0
 2021/10/23 9:46:35, 15.77, 59.01, 1001.6, 0.0, 3.0
 2021/10/23 9:46:36, 15.77, 59.05, 1001.59, 0.0, 2.0
 2021/10/23 9:46:37, 15.77, 59.1, 1001.61, 0.0, 1.0
 2021/10/23 9:46:38, 15.77, 59.12, 1001.59, 0.0, 2.0
 2021/10/23 9:46:39, 15.77, 59.15, 1001.61, 0.0, 3.0
 2021/10/23 9:46:40, 15.77, 59.2, 1001.62, 0.0, 4.0
 2021/10/23 9:46:41, 15.77, 59.27, 1001.59, 0.0, 2.0
 2021/10/23 9:46:42, 15.75, 59.31, 1001.57, 0.0, 1.0
 2021/10/23 9:46:43, 15.76, 59.31, 1001.57, 0.0, 2.0
 2021/10/23 9:46:44, 15.75, 59.29, 1001.61, 0.0, 2.0
 2021/10/23 9:46:53, 15.77, 59.01, 1001.6, 0.0, 3.0
 2021/10/23 9:46:54, 15.78, 58.99, 1001.61, 0.0, 2.0
 2021/10/23 9:46:55, 15.79, 58.99, 1001.55, 0.0, 2.0
 2021/10/23 9:46:56, 15.8, 59.0, 1001.6, 0.0, 3.0
 2021/10/23 9:46:57, 15.81, 58.95, 1001.58, 0.0, 2.0
 2021/10/23 9:46:58, 15.81, 58.85, 1001.57, 0.0, 3.0
 2021/10/23 9:46:59, 15.81, 58.72, 1001.57, 0.0, 2.0
 2021/10/23 9:47:0, 15.83, 58.68, 1001.58, 0.0, 1.0
 2021/10/23 9:47:1, 15.82, 58.68, 1001.54, 0.0, 4.0
 2021/10/23 9:47:2, 15.82, 58.69, 1001.52, 0.0, 2.0
 2021/10/23 9:47:3, 15.82, 58.75, 1001.59, 0.0, 2.0
 2021/10/23 9:47:4, 15.81, 58.83, 1001.56, 0.0, 2.0
 2021/10/23 9:47:5, 15.82, 58.89, 1001.56, 0.0, 3.0
 2021/10/23 9:47:6, 15.82, 58.96, 1001.56, 0.0, 2.0
 2021/10/23 9:47:7, 15.81, 59.04, 1001.55, 0.0, 2.0
 2021/10/23 9:47:8, 15.81, 59.14, 1001.54, 0.0, 3.0
 2021/10/23 9:47:9, 15.81, 59.21, 1001.55, 0.0, 2.0
 2021/10/23 9:47:10, 15.81, 59.26, 1001.6, 0.0, 3.0
 2021/10/23 9:47:11, 15.81, 59.32, 1001.56, 0.0, 2.0
 2021/10/23 9:47:12, 15.81, 59.42, 1001.56, 0.0, 2.0
 2021/10/23 9:47:13, 15.81, 59.58, 1001.55, 0.0, 3.0
