timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2022/9/16 13:1:13, 22.37, 37.46, 863.13, 0.00, 0.00
2022/9/16 13:1:13, 22.38, 37.46, 863.14, 0.00, 11.65
2022/9/16 13:1:14, 22.39, 37.44, 863.14, 0.00, 11.58
2022/9/16 13:1:14, 22.39, 37.44, 863.16, 0.00, 11.62
2022/9/16 13:1:15, 22.40, 37.41, 863.16, 0.00, 11.58
2022/9/16 13:1:16, 22.39, 37.41, 863.10, 0.00, 11.65
2022/9/16 13:1:17, 22.39, 37.39, 863.13, 0.00, 11.65
2022/9/16 13:1:17, 22.39, 37.39, 863.13, 0.00, 11.62
2022/9/16 13:1:18, 22.39, 37.35, 863.13, 0.00, 11.56
2022/9/16 13:1:18, 22.39, 37.35, 863.12, 0.00, 11.58
2022/9/16 13:1:19, 22.40, 37.34, 863.10, 0.00, 11.60
2022/9/16 13:1:19, 22.40, 37.34, 863.13, 0.00, 11.62
2022/9/16 13:1:20, 22.40, 37.37, 863.09, 0.00, 11.58
2022/9/16 13:1:20, 22.40, 37.37, 863.14, 0.00, 11.58
2022/9/16 13:1:21, 22.41, 37.38, 863.11, 0.00, 11.58
2022/9/16 13:1:22, 22.41, 37.38, 863.11, 0.00, 11.60
2022/9/16 13:1:23, 22.41, 37.39, 863.13, 0.00, 11.65
2022/9/16 13:1:23, 22.41, 37.38, 863.16, 0.00, 11.60
2022/9/16 13:1:24, 22.41, 37.34, 863.15, 0.00, 11.58
2022/9/16 13:1:24, 22.42, 37.35, 863.13, 0.00, 11.62
2022/9/16 13:1:25, 22.41, 37.33, 863.14, 0.00, 11.60
2022/9/16 13:1:25, 22.42, 37.33, 863.15, 0.00, 11.62
2022/9/16 13:1:26, 22.41, 37.32, 863.11, 0.00, 11.60
2022/9/16 13:1:27, 22.42, 37.32, 863.16, 0.00, 11.60
2022/9/16 13:1:28, 22.41, 37.29, 863.11, 0.00, 11.60
2022/9/16 13:1:28, 22.41, 37.28, 863.13, 0.00, 11.54
2022/9/16 13:1:29, 22.41, 37.20, 863.11, 0.00, 11.60
2022/9/16 13:1:29, 22.41, 37.19, 863.11, 0.00, 11.60
2022/9/16 13:1:30, 22.42, 37.15, 863.11, 0.00, 11.58
2022/9/16 13:1:30, 22.42, 37.13, 863.15, 0.00, 11.58
2022/9/16 13:1:31, 22.42, 37.10, 863.12, 0.00, 11.60
