0.12553,0.0025514,0.97
0.12522,0.0025541,0.97
0.1249,0.0025568,0.97
0.12458,0.0025595,0.97
0.12426,0.0025623,0.97
0.12392,0.0025651,0.97
0.12359,0.0025678,0.97
0.12325,0.0025707,0.97
0.1229,0.0025735,0.97
0.12255,0.0025763,0.97
0.1222,0.0025792,0.97
0.12184,0.0025821,0.97
0.12148,0.002585,0.97
0.12111,0.002588,0.97
0.12074,0.0025909,0.97
0.12037,0.0025939,0.97
0.11999,0.0025969,0.97
0.11961,0.0025999,0.97
0.11923,0.002603,0.97
0.11884,0.002606,0.97
0.11845,0.0026091,0.97
0.11805,0.0026122,0.97
0.11765,0.0026153,0.97
0.11725,0.0026185,0.97
0.11685,0.0026216,0.97
0.11644,0.0026248,0.97
0.11603,0.002628,0.97
0.11562,0.0026312,0.97
0.11521,0.0026344,0.97
0.11479,0.0026377,0.97
0.11437,0.0026409,0.97
0.11395,0.0026442,0.97
0.11353,0.0026475,0.97
0.1131,0.0026508,0.97
0.11268,0.0026542,0.97
0.11225,0.0026575,0.97
0.11182,0.0026609,0.97
0.11139,0.0026643,0.97
0.11095,0.0026677,0.97
0.11052,0.0026711,0.97
0.11008,0.0026745,0.97
0.10965,0.002678,0.97
0.10921,0.0026814,0.97
0.10877,0.0026849,0.97
0.10833,0.0026884,0.97
0.10789,0.0026919,0.97
0.10745,0.0026954,0.97
0.10701,0.002699,0.97
0.10657,0.0027025,0.97
0.10613,0.0027061,0.97
0.10568,0.0027097,0.97
0.10524,0.0027133,0.97
0.1048,0.0027169,0.97
0.10436,0.0027205,0.97
0.10392,0.0027241,0.97
0.10348,0.0027278,0.97
0.10304,0.0027314,0.97
0.1026,0.0027351,0.97
0.10216,0.0027388,0.97
0.10172,0.0027425,0.97
0.10128,0.0027462,0.97
0.10085,0.0027499,0.97
0.10041,0.0027537,0.97
0.099976,0.0027574,0.97
0.099543,0.0027612,0.97
0.099112,0.002765,0.97
0.098682,0.0027688,0.97
0.098254,0.0027725,0.97
0.097827,0.0027764,0.97
0.097403,0.0027802,0.97
0.09698,0.002784,0.97
0.096559,0.0027878,0.97
0.096141,0.0027917,0.97
0.095725,0.0027955,0.97
0.095311,0.0027994,0.97
0.0949,0.0028033,0.97
0.094491,0.0028072,0.97
0.094085,0.0028111,0.97
0.093682,0.002815,0.97
0.093281,0.0028189,0.97
0.092884,0.0028228,0.97
0.09249,0.0028267,0.97
0.092099,0.0028307,0.97
0.091711,0.0028346,0.97
0.091327,0.0028387,0.97
0.090946,0.0028428,0.97
0.090569,0.002847,0.97
0.090196,0.0028513,0.97
0.089827,0.0028556,0.97
0.089461,0.0028601,0.97
0.0891,0.0028645,0.97
0.088742,0.0028691,0.97
0.088389,0.0028736,0.97
0.088041,0.0028783,0.97
0.087697,0.0028829,0.97
0.087357,0.0028876,0.97
0.087022,0.0028924,0.97
0.086692,0.0028971,0.97
0.086367,0.0029019,0.97
0.086047,0.0029067,0.97
0.085732,0.0029116,0.97
0.085422,0.0029164,0.97
0.085118,0.0029212,0.97
0.084819,0.0029261,0.97
0.084525,0.0029309,0.97
0.084237,0.0029358,0.97
0.083955,0.0029406,0.97
0.083679,0.0029454,0.97
0.083409,0.0029502,0.97
0.083145,0.002955,0.97
0.082886,0.0029597,0.97
0.082634,0.0029645,0.97
0.082385,0.0029691,0.97
0.082141,0.0029738,0.97
0.081901,0.0029784,0.97
0.081664,0.0029829,0.97
0.081432,0.0029874,0.97
0.081203,0.0029918,0.97
0.080977,0.0029962,0.97
0.080755,0.0030005,0.97
0.080537,0.0030047,0.97
0.080321,0.0030088,0.97
0.080109,0.0030129,0.97
0.079901,0.0030169,0.97
0.079695,0.0030208,0.97
0.079492,0.0030246,0.97
0.079291,0.0030283,0.97
0.079094,0.0030319,0.97
0.078899,0.0030355,0.97
0.078707,0.003039,0.97
0.078517,0.0030424,0.97
0.078329,0.0030457,0.97
0.078144,0.0030491,0.97
0.077961,0.0030523,0.97
0.077779,0.0030556,0.97
0.0776,0.0030588,0.97
0.077423,0.003062,0.97
0.077247,0.0030652,0.97
0.077073,0.0030683,0.97
0.076901,0.0030715,0.97
0.076731,0.0030747,0.97
0.076562,0.0030779,0.97
0.076396,0.0030811,0.97
0.076232,0.0030844,0.97
0.07607,0.0030876,0.97
0.075909,0.003091,0.97
0.075751,0.0030944,0.97
0.075594,0.0030978,0.97
0.075439,0.0031013,0.97
0.075285,0.0031049,0.97
0.075134,0.0031085,0.97
0.074984,0.0031122,0.97
0.074835,0.003116,0.97
0.074689,0.00312,0.97
0.074543,0.003124,0.97
0.0744,0.0031281,0.97
0.074258,0.0031322,0.97
0.074117,0.0031365,0.97
0.073978,0.0031408,0.97
0.07384,0.0031452,0.97
0.073704,0.0031496,0.97
0.073568,0.0031541,0.97
0.073435,0.0031587,0.97
0.073302,0.0031633,0.97
0.073171,0.003168,0.97
0.073041,0.0031727,0.97
0.072912,0.0031774,0.97
0.072784,0.0031822,0.97
0.072658,0.003187,0.97
0.072533,0.0031918,0.97
0.072409,0.0031966,0.97
0.072286,0.0032014,0.97
0.072165,0.0032063,0.97
0.072045,0.0032111,0.97
0.071925,0.003216,0.97
0.071807,0.0032209,0.97
0.07169,0.0032257,0.97
0.071575,0.0032305,0.97
0.07146,0.0032353,0.97
0.071346,0.0032401,0.97
0.071233,0.0032449,0.97
0.071122,0.0032496,0.97
0.071011,0.0032543,0.97
0.070901,0.003259,0.97
0.070792,0.0032636,0.97
0.070685,0.0032681,0.97
0.070578,0.0032726,0.97
0.070472,0.0032771,0.97
