15.9,0,16.398,80,0,27,93,0,1453.8
15.917,0,18.954,207,0.00527,27,93,0,1454
15.933,0,20.639,207,0.011,44,93,0,1453.4
15.95,0,21.906,219,0.01709,49,92,0,1453.4
15.967,0,23.141,212,0.02351,53,92,0,1453.4
15.983,0,24.408,206,0.03029,56,94,0,1453.8
16,0,25.333,199,0.03733,59,98,0,1454
16.017,0,26.46,197,0.04468,61,100,0,1454.2
16.033,0,27.482,242,0.05231,64,103,0,1454
16.05,0,28.584,223,0.06025,66,103,0,1454.2
16.067,0,29.696,253,0.0685,68,105,0,1453.8
16.083,0,30.604,237,0.077,71,109,0,1454
16.1,0,31.676,256,0.0858,74,111,0,1453.4
16.117,0,33.199,270,0.09503,77,113,0,1453.8
16.133,0,34.157,260,0.10451,79,115,0,1454
16.15,0,35.284,244,0.11431,82,117,0,1454
16.167,0,36.115,271,0.12435,85,118,0,1453.8
16.183,0,37.12,251,0.13466,87,120,0,1453.4
16.2,0,38.182,235,0.14526,90,122,0,1454
16.217,0,39.017,238,0.1561,92,123,0,1454.2
16.233,0,40.19,247,0.16727,94,124,0,1454
16.25,0,41.119,241,0.17869,96,125,0,1454
16.267,0,42.088,253,0.19038,98,126,0,1454
16.283,0,43.106,257,0.20235,100,127,0,1453.8
16.3,0,43.636,225,0.21447,101,128,0,1453.8
16.317,0,44.543,250,0.22685,91,129,0,1454.2
16.333,0,45.493,265,0.23948,93,129,0,1454
16.35,0,46.213,246,0.25232,95,130,0,1454
16.367,0,47.095,256,0.2654,97,131,0,1453.8
16.383,0,47.941,273,0.27872,99,132,0,1453.8
16.4,0,48.74,268,0.29226,101,132,0,1453.6
16.417,0,49.493,225,0.30601,102,134,0,1453.6
16.433,0,50.191,241,0.31995,104,135,0,1454
16.45,0,50.908,259,0.33409,105,136,0,1454.2
16.467,0,51.563,249,0.34841,107,137,0,1454.2
16.483,0,52.232,270,0.36292,108,138,0,1454.2
16.5,0,53.1,285,0.37767,110,139,0,1453.8
16.517,0,53.813,285,0.39262,112,140,0,1453.6
16.533,0,54.918,291,0.40787,113,141,0,1454
16.55,0,55.487,261,0.42329,112,142,0,1454.4
16.567,0,56.07,289,0.43886,103,143,0,1454.6
16.583,0,56.866,264,0.45466,105,143,0,1454.2
16.6,0,57.478,258,0.47062,105,144,0,1454.2
16.617,0,57.892,268,0.48671,106,145,0,1454
16.633,0,58.738,267,0.50302,108,146,0,1453.4
16.65,0,59.173,279,0.51946,109,147,0,1453.8
16.667,0,59.724,265,0.53605,110,147,0,1453.8
16.683,0,60.286,268,0.55279,111,148,0,1454.4
