tempo,velocità,latitudine,longitudine
729.895204,35.37,45.473808,8.281996
730.929495,34.81,45.473718,8.281996
731.96551,35.18,45.473628,8.281998999999999
732.901242,34.63,45.473538,8.282005999999999
733.935465,35.0,45.473448,8.282015
734.967835,34.44,45.473358999999995,8.282027
735.903294,34.81,45.47327,8.282041999999999
736.935603,34.44,45.473183,8.282060999999999
737.965728,34.81,45.473093999999996,8.282083
738.901345,34.81,45.473006,8.282105
739.933638,35.18,45.472916999999995,8.282129
740.967815,35.550000000000004,45.472826999999995,8.282154
741.899404,35.37,45.472738,8.282181999999999
742.931856,35.37,45.472651,8.282211
743.969654,35.0,45.472564999999996,8.282245
744.901465,35.37,45.47248,8.282283
745.936022,34.81,45.472395999999996,8.282324
746.96576,35.18,45.472311999999995,8.282365
747.895962,34.81,45.472227,8.282407
748.929963,35.37,45.472142999999996,8.282454
749.962034,35.550000000000004,45.472058999999994,8.282504
750.893516,35.550000000000004,45.471976,8.282558
751.932112,35.37,45.471894999999996,8.282613999999999
752.967876,35.37,45.471815,8.282672
753.900179,35.18,45.471736,8.282733
754.934104,35.37,45.471657,8.282793999999999
755.966104,35.74,45.471578,8.282858
756.894226,35.550000000000004,45.4715,8.282923
757.929968,35.550000000000004,45.471423,8.28299
758.961961,35.550000000000004,45.471348,8.283057
759.89173,35.550000000000004,45.471274,8.283127
760.918313,35.37,45.471199999999996,8.283199
761.952249,35.74,45.471126999999996,8.283275
762.988228,35.18,45.471056999999995,8.283353
763.920368,35.550000000000004,45.470987,8.283434
764.956135,35.18,45.470918,8.283515999999999
765.986478,35.37,45.47085,8.283598
766.920327,35.37,45.470780999999995,8.283681
767.954201,35.18,45.470715,8.283768
768.988288,35.0,45.470652,8.283858
769.922179,35.0,45.470591999999996,8.283952
770.950432,34.81,45.470535,8.284049
771.980243,35.37,45.470479999999995,8.284149
772.910405,35.18,45.470425,8.28425
773.944459,35.37,45.470371,8.284352
774.974534,35.550000000000004,45.470315,8.284454
775.910517,35.550000000000004,45.470257,8.284555
776.946588,35.550000000000004,45.470199,8.284656
777.974322,35.37,45.470144,8.28476
778.910362,35.18,45.470093,8.284867
779.938636,35.37,45.470044,8.284976
780.978755,35.18,45.469995,8.285084
781.920396,35.18,45.46995,8.285195
782.956419,35.550000000000004,45.469905999999995,8.285307999999999
783.892214,35.18,45.469865,8.285423
784.926668,35.550000000000004,45.469825,8.285539
785.960501,35.18,45.469787,8.285656
786.894224,35.74,45.46975,8.285774
787.930625,35.37,45.469713999999996,8.285893
788.968699,35.74,45.46968,8.286014
789.910545,35.37,45.469646999999995,8.286135999999999
790.944861,35.550000000000004,45.469615999999995,8.286259
791.976591,35.18,45.469586,8.286381
792.906821,35.74,45.469556999999995,8.286505
793.940619,35.37,45.46953,8.286629999999999
794.976866,35.74,45.469505999999996,8.286755
795.912648,35.37,45.469484,8.28688
796.950706,35.550000000000004,45.469463999999995,8.287006
797.988955,35.37,45.469446,8.287132999999999
798.924748,35.92,45.469431,8.287262
799.962753,35.37,45.469418,8.287391
800.897015,35.92,45.469406,8.287522
801.934939,35.74,45.469395999999996,8.287652999999999
802.970829,36.29,45.469389,8.287784
803.903043,35.74,45.469384,8.287916
804.940857,36.11,45.469381,8.288048
805.972907,35.74,45.469381,8.288179999999999
806.911063,36.29,45.469381,8.288312
807.945051,36.11,45.469381999999996,8.288445
808.978911,36.660000000000004,45.469381999999996,8.288579
809.914948,36.11,45.469383,8.288711
810.94695,36.660000000000004,45.469384999999996,8.288844
811.984976,36.11,45.469393,8.288974999999999
812.919244,36.29,45.469404999999995,8.289105
813.953178,35.92,45.46942,8.289234
814.98319,36.29,45.469437,8.289363
815.917277,35.92,45.469454,8.289492
816.94708,36.660000000000004,45.469471,8.289622
817.983327,36.11,45.469488999999996,8.28975
818.917134,36.480000000000004,45.469508,8.289878999999999
819.945382,36.11,45.469530999999996,8.290004999999999
820.981498,36.480000000000004,45.469556999999995,8.290130999999999
821.919463,36.480000000000004,45.469586,8.290256
822.953172,36.660000000000004,45.469618,8.290381
823.89137,36.660000000000004,45.469651,8.290505
824.929501,36.85,45.469685,8.290629
825.969233,36.85,45.469716999999996,8.290754
826.907011,36.85,45.469749,8.29088
827.943423,37.04,45.469778999999996,8.291006
