timestamp,hall_cadence,speed,distance
2024-05-29T15:15:29.650277,0.0,0.0,0.0
2024-05-29T15:15:32.305349,0.0,0.0,0.0
2024-05-29T15:15:32.793713,0.0,0.0,0.0
2024-05-29T15:15:33.537307,0.0,0.0,0.0
2024-05-29T15:15:34.533226,0.0,0.0,0.0
2024-05-29T15:15:35.519156,0.0,0.0,0.0
2024-05-29T15:15:36.262442,0.0,0.0,1.45
2024-05-29T15:15:36.511067,0.0,0.0,1.45
2024-05-29T15:15:37.006693,0.0,12.9113,4.35
2024-05-29T15:15:37.255006,0.0,17.5255,5.8
2024-05-29T15:15:37.996426,0.0,20.9072,10.15
2024-05-29T15:15:38.244986,0.0,23.9699,11.6
2024-05-29T15:15:38.739880,0.0,26.5934,15.95
2024-05-29T15:15:38.987458,0.0,27.4117,17.4
2024-05-29T15:15:39.483489,0.0,27.3416,20.3
2024-05-29T15:15:39.730860,0.0,27.0647,23.2
2024-05-29T15:15:40.475672,0.0,26.771,27.55
2024-05-29T15:15:41.217433,0.0,26.3639,33.35
2024-05-29T15:15:41.961920,0.0,25.9165,39.15
2024-05-29T15:15:42.209834,0.0,25.5755,40.6
2024-05-29T15:15:42.703938,0.0,25.4134,44.95
2024-05-29T15:15:42.952359,0.0,25.0952,46.4
2024-05-29T15:15:43.448325,0.0,24.9779,49.3
2024-05-29T15:15:43.694798,0.0,24.8618,50.75
2024-05-29T15:15:44.194612,0.0,24.5572,55.1
2024-05-29T15:15:44.438019,0.0,24.4077,56.55
2024-05-29T15:15:46.172082,0.0,23.7832,68.15
2024-05-29T15:15:46.668867,0.0,23.2403,71.05
2024-05-29T15:15:46.915548,0.0,22.9411,72.5
2024-05-29T15:15:47.410929,0.0,22.8431,75.4
2024-05-29T15:15:47.663411,0.0,22.8431,76.85
2024-05-29T15:15:48.401939,0.0,26.1064,82.65
2024-05-29T15:15:49.145104,0.0,31.1497,89.9
2024-05-29T15:15:49.394357,0.0,32.9956,91.35
2024-05-29T15:15:49.895591,0.0,34.9365,95.7
2024-05-29T15:15:50.136071,0.0,36.7373,98.6
2024-05-29T15:15:50.631902,0.0,38.9456,104.4
2024-05-29T15:15:51.622755,0.0,39.3449,114.55
2024-05-29T15:15:51.871671,0.0,38.8748,117.45
2024-05-29T15:15:52.365845,0.0,38.5941,123.25
2024-05-29T15:15:52.613712,0.0,38.3174,126.15
2024-05-29T15:15:53.852496,0.0,37.7018,139.2
2024-05-29T15:15:54.100433,0.0,37.12,140.65
2024-05-29T15:15:54.843469,0.0,36.8217,149.35
