timestamp;umidità;temperatura
2025-09-13 13:22:16.693;67.4;26.9
2025-09-13 13:22:26.693;63.9;27.0
2025-09-13 13:22:36.693;68.7;27.3
2025-09-13 13:22:46.693;70.4;27.6
2025-09-13 13:22:56.693;64.0;27.7
2025-09-13 13:23:06.693;61.4;27.8
2025-09-13 13:23:16.693;58.3;27.8
2025-09-13 13:23:26.693;57.3;27.8
2025-09-13 13:23:36.693;57.1;27.8
2025-09-13 13:23:46.693;57.4;27.6
2025-09-13 13:23:56.693;57.4;27.6
2025-09-13 13:24:06.693;57.3;27.7
2025-09-13 13:24:16.693;57.3;27.7
2025-09-13 13:24:26.693;57.5;27.8
2025-09-13 13:24:36.693;57.3;27.8
2025-09-13 13:24:46.693;57.4;27.6
2025-09-13 13:24:56.693;57.1;27.6
2025-09-13 13:25:06.693;57.0;27.6
2025-09-13 13:25:16.693;57.1;27.6
2025-09-13 13:25:26.693;57.0;27.6
2025-09-13 13:25:36.693;57.1;27.6
2025-09-13 13:25:46.693;57.1;27.6
2025-09-13 13:25:56.693;56.9;27.6
2025-09-13 13:26:06.693;56.9;27.6
2025-09-13 13:26:16.693;57.1;27.6
2025-09-13 13:26:26.693;57.1;27.6
2025-09-13 13:26:36.693;57.3;27.7
2025-09-13 13:26:46.693;57.1;27.7
2025-09-13 13:26:56.693;57.1;27.7
2025-09-13 13:27:06.693;57.0;27.7
2025-09-13 13:27:16.693;57.1;27.7
2025-09-13 13:27:26.693;57.2;27.8
2025-09-13 13:27:36.693;57.3;27.8
2025-09-13 13:27:46.693;57.3;27.8
2025-09-13 13:27:56.693;56.9;27.8
2025-09-13 13:28:06.693;56.7;27.8
2025-09-13 13:28:16.693;56.5;27.8
2025-09-13 13:28:26.693;56.7;27.7
2025-09-13 13:28:36.693;57.1;27.8
2025-09-13 13:28:46.693;57.0;27.8
2025-09-13 13:28:56.693;56.9;27.6
2025-09-13 13:29:06.693;56.6;27.6
2025-09-13 13:29:16.693;56.6;27.6
2025-09-13 13:29:26.693;56.6;27.6
2025-09-13 13:29:36.693;56.7;27.6
2025-09-13 13:29:46.693;56.5;27.6
2025-09-13 13:29:56.693;56.4;27.6
2025-09-13 13:30:06.693;56.5;27.5
2025-09-13 13:30:16.693;56.7;27.5
2025-09-13 13:30:26.693;56.8;27.4
2025-09-13 13:30:36.693;57.0;27.4
2025-09-13 13:30:46.693;57.3;27.3
2025-09-13 13:30:56.693;57.4;27.3
2025-09-13 13:31:06.693;57.4;27.3
2025-09-13 13:31:16.693;57.6;27.3
2025-09-13 13:31:26.693;57.6;27.2
2025-09-13 13:31:36.693;57.6;27.1
2025-09-13 13:31:46.693;57.8;27.1
2025-09-13 13:31:56.693;57.9;27.0
2025-09-13 13:32:06.693;58.1;27.0
2025-09-13 13:32:16.693;58.5;27.0
2025-09-13 13:32:26.693;58.2;27.0
2025-09-13 13:32:36.693;58.4;27.0
2025-09-13 13:32:46.693;58.5;26.9
2025-09-13 13:32:56.693;58.7;26.9
2025-09-13 13:33:06.693;58.6;26.9
2025-09-13 13:33:16.693;58.9;26.9
2025-09-13 13:33:26.693;58.8;26.9
2025-09-13 13:33:36.693;58.6;26.9
2025-09-13 13:33:46.693;58.6;26.9
2025-09-13 13:33:56.693;58.6;26.9
2025-09-13 13:34:06.693;58.9;26.9
2025-09-13 13:34:16.693;58.8;26.9
2025-09-13 13:34:26.693;58.9;26.9
2025-09-13 13:34:36.693;59.0;26.9
2025-09-13 13:34:46.693;58.6;26.9
2025-09-13 13:34:56.693;58.5;26.9
2025-09-13 13:35:06.693;58.4;26.9
2025-09-13 13:35:16.693;58.5;26.8
2025-09-13 13:35:26.693;58.5;26.8
2025-09-13 13:35:36.693;58.8;26.8
2025-09-13 13:35:46.693;58.8;26.8
2025-09-13 13:35:56.693;59.0;26.8
2025-09-13 13:36:06.693;58.8;26.8
2025-09-13 13:36:16.693;58.6;26.9
2025-09-13 13:36:26.693;58.4;26.8
2025-09-13 13:36:36.693;58.4;26.8
2025-09-13 13:36:46.693;58.5;26.9
2025-09-13 13:36:56.693;58.8;26.9
2025-09-13 13:37:06.693;58.8;26.9
2025-09-13 13:37:16.693;59.4;26.9
2025-09-13 13:37:26.693;59.7;27.0
2025-09-13 13:37:36.693;59.5;27.0
2025-09-13 13:37:46.693;59.3;27.0
2025-09-13 13:37:56.693;59.1;27.0
2025-09-13 13:38:06.693;58.8;27.1
2025-09-13 13:38:16.693;58.7;27.1
2025-09-13 13:38:26.693;58.5;27.1
2025-09-13 13:38:36.693;58.5;27.1
2025-09-13 13:38:46.693;58.6;27.1
2025-09-13 13:38:56.693;58.7;27.1
2025-09-13 13:39:06.693;58.4;27.1
2025-09-13 13:39:16.693;58.3;27.1
2025-09-13 13:39:26.693;58.3;27.1
2025-09-13 13:39:36.693;58.1;27.1
2025-09-13 13:39:46.693;58.1;27.1
2025-09-13 13:39:56.693;57.9;27.1
2025-09-13 13:40:06.693;57.9;27.1
2025-09-13 13:40:16.693;57.9;27.1
2025-09-13 13:40:26.693;57.8;27.1
2025-09-13 13:40:36.693;57.9;27.2
2025-09-13 13:40:46.693;57.8;27.2
2025-09-13 13:40:56.693;57.8;27.2
2025-09-13 13:41:06.693;57.8;27.1
2025-09-13 13:41:16.693;57.8;27.1
2025-09-13 13:41:26.693;58.1;27.0
2025-09-13 13:41:36.693;58.4;27.0
2025-09-13 13:41:46.693;58.5;27.0
2025-09-13 13:41:56.693;58.5;27.0
2025-09-13 13:42:06.693;58.6;27.0
2025-09-13 13:42:16.693;58.8;27.0
2025-09-13 13:42:26.693;59.1;27.0
2025-09-13 13:42:36.693;59.4;27.0
2025-09-13 13:42:46.693;59.8;27.0
2025-09-13 13:42:56.693;60.2;27.0
2025-09-13 13:43:06.693;60.6;27.0
2025-09-13 13:43:16.693;60.9;27.0
2025-09-13 13:43:26.693;61.1;27.0
2025-09-13 13:43:36.693;61.2;27.0
2025-09-13 13:43:46.693;61.5;27.0
2025-09-13 13:43:56.693;61.7;27.0
2025-09-13 13:44:06.693;61.9;27.0
2025-09-13 13:44:16.693;62.2;27.0
2025-09-13 13:44:26.693;62.6;27.0
2025-09-13 13:44:36.693;63.2;27.0
2025-09-13 13:44:46.693;63.6;27.0
2025-09-13 13:44:56.693;63.8;27.0
2025-09-13 13:45:06.693;61.0;27.0
2025-09-13 13:45:16.693;59.7;27.0
2025-09-13 13:45:26.693;59.0;26.9
