timestamp,heartrate
2024-09-09T21:33:49.717689,130.0
2024-09-09T21:33:51.909676,132.0
2024-09-09T21:34:03.021320,137.0
2024-09-09T21:34:05.234093,137.0
2024-09-09T21:34:06.959865,137.0
2024-09-09T21:34:15.332494,133.0
2024-09-09T21:34:17.055901,132.0
2024-09-09T21:34:18.780689,132.0
2024-09-09T21:34:25.432445,133.0
2024-09-09T21:34:27.647053,133.0
2024-09-09T21:35:12.714428,136.0
2024-09-09T21:35:13.948615,137.0
2024-09-09T21:35:28.720000,141.0
2024-09-09T21:35:28.967324,140.0
2024-09-09T21:35:29.958588,140.0
2024-09-09T21:35:30.445696,140.0
2024-09-09T21:35:30.690833,140.0
2024-09-09T21:35:32.167448,140.0
2024-09-09T21:35:34.138850,139.0
2024-09-09T21:35:36.848880,138.0
2024-09-09T21:35:37.337265,138.0
2024-09-09T21:35:38.089468,138.0
2024-09-09T21:35:40.293866,137.0
2024-09-09T21:35:54.334379,135.0
2024-09-09T21:36:10.842140,137.0
2024-09-09T21:36:11.571114,137.0
2024-09-09T21:36:12.558618,137.0
2024-09-09T21:36:13.048868,137.0
2024-09-09T21:36:13.296134,136.0
2024-09-09T21:36:15.759234,135.0
2024-09-09T21:36:29.552737,122.0
2024-09-09T21:36:30.289088,121.0
2024-09-09T21:36:31.274751,121.0
2024-09-09T21:36:31.772184,121.0
