tempo,velocità,latitudine,longitudine
2634.005018,36.480000000000004,45.470755999999994,8.294126
2634.933022,36.85,45.470791999999996,8.294247
2635.959081,36.480000000000004,45.470825999999995,8.294368
2636.991183,37.410000000000004,45.470861,8.294492
2637.917146,37.22,45.470897,8.294614
2638.943025,37.59,45.470935,8.294735
2639.971118,37.22,45.470974,8.294853999999999
2640.997066,37.04,45.471013,8.294972
2641.927252,36.480000000000004,45.471053,8.295088999999999
2642.959205,36.660000000000004,45.471092999999996,8.295206
2643.983301,35.92,45.471131,8.295321999999999
2644.911296,35.74,45.471168,8.295437999999999
2645.943262,35.92,45.471202999999996,8.295556
2646.975014,36.480000000000004,45.471239,8.295677
2648.003268,36.29,45.471275999999996,8.295797
2648.933372,36.660000000000004,45.471312,8.295919
2649.963396,36.660000000000004,45.471349,8.296039
2650.991427,36.85,45.471385999999995,8.296159
2651.916853,36.660000000000004,45.471423,8.296279
2652.947306,37.410000000000004,45.471461999999995,8.2964
2653.979305,37.22,45.471503999999996,8.296517
2654.907492,36.85,45.471547,8.296633
2655.939449,36.480000000000004,45.471588999999994,8.296747
2656.971382,36.29,45.471630999999995,8.296861999999999
2657.999639,36.11,45.471671,8.296978
2658.933408,36.29,45.471711,8.297094999999999
2659.961416,36.29,45.471751,8.297213
2660.987459,36.29,45.47179,8.297331999999999
2661.915048,36.29,45.471827,8.297450999999999
2662.94765,36.660000000000004,45.471865,8.297573
2663.975495,36.660000000000004,45.471900999999995,8.297695
2665.005706,37.22,45.471939,8.297817
2665.933641,37.22,45.471976,8.297937
2666.967559,37.59,45.472015,8.298059
2667.995559,37.22,45.472052999999995,8.298178
2668.921654,37.59,45.472091,8.298297
2669.949634,37.04,45.47213,8.298414
2670.975736,36.29,45.472167,8.298529
2671.905754,36.29,45.472204,8.298645
2672.935857,36.11,45.47224,8.298763
2673.965559,36.480000000000004,45.472276,8.298881999999999
2674.991891,36.29,45.472311999999995,8.299002
2675.919835,36.480000000000004,45.472348,8.299121
2676.947938,36.480000000000004,45.472384,8.29924
2677.973864,36.85,45.472421,8.299358999999999
2678.905977,36.660000000000004,45.472457999999996,8.299477999999999
2679.935622,37.04,45.472496,8.299597
2680.967815,36.85,45.472533999999996,8.299714
2681.992148,37.22,45.472573999999994,8.299831
2682.92347,37.04,45.472614,8.299947
2683.955901,37.04,45.472654999999996,8.300061
2684.985918,36.660000000000004,45.472697,8.300173
2685.918012,36.29,45.472738,8.300284999999999
2686.948118,35.92,45.472777,8.300398
2687.979972,36.11,45.472815999999995,8.300513
2688.915534,35.550000000000004,45.472851999999996,8.300627
2689.947989,35.92,45.472888999999995,8.300745
2690.980113,35.74,45.472924,8.300863
2691.914217,36.480000000000004,45.472958999999996,8.300982
2692.948071,36.480000000000004,45.472995,8.301101
2693.980257,36.85,45.473034,8.301219
2695.010096,36.660000000000004,45.473073,8.301336
2695.938141,36.660000000000004,45.473112,8.301451
2696.97033,36.11,45.473151,8.301566
2698.004325,35.92,45.473189999999995,8.301682
2698.936178,35.92,45.473227,8.301798999999999
2699.967958,36.11,45.473264,8.301917
2700.996228,36.11,45.473299999999995,8.302035
2701.928333,36.480000000000004,45.473338,8.302154999999999
2702.956337,36.660000000000004,45.473375999999995,8.302273999999999
2703.984304,36.480000000000004,45.473414999999996,8.302392
2704.91384,36.660000000000004,45.473455,8.30251
2705.942289,36.29,45.473493999999995,8.302627
2706.970328,36.11,45.473531,8.302743
2707.998591,36.29,45.473568,8.302861
2708.93038,36.660000000000004,45.473605,8.30298
2709.960245,36.660000000000004,45.473642,8.303099
2710.986186,37.04,45.473679,8.303218
2711.912443,36.85,45.473715999999996,8.303336
2712.942495,37.04,45.473752999999995,8.303454
2713.972654,36.480000000000004,45.473789,8.303571
2715.000845,36.660000000000004,45.473825,8.303689
2715.928687,36.660000000000004,45.473862,8.303808
2716.964628,37.22,45.4739,8.303927
2717.994569,36.29,45.473937,8.304043
2718.922115,36.85,45.473974999999996,8.30416
2719.952625,36.29,45.474014,8.304276
2720.982623,36.480000000000004,45.474053,8.304393
2721.908707,36.29,45.474092,8.30451
2722.936708,36.660000000000004,45.474129999999995,8.304629
2723.964842,36.660000000000004,45.474167,8.304748
2724.990866,37.22,45.474205999999995,8.304867
2725.916774,37.04,45.474244999999996,8.304986999999999
2726.946776,37.410000000000004,45.474283,8.305107
2727.974736,37.04,45.474322,8.305223999999999
2728.906793,37.04,45.474362,8.305341
2729.938796,36.660000000000004,45.474401,8.305456
2730.968608,37.04,45.47444,8.305572
2731.99909,36.660000000000004,45.47448,8.305688
2732.924858,37.04,45.47452,8.305805
2733.954955,36.480000000000004,45.474559,8.305921
2734.984639,36.480000000000004,45.474596999999996,8.306037
2735.910965,35.92,45.474633999999995,8.306154
2736.939112,36.480000000000004,45.474669999999996,8.306274
2737.965002,36.11,45.474705,8.306393
2738.997116,36.29,45.474739,8.306515
2739.923066,36.11,45.474771999999994,8.306637
2740.952999,36.660000000000004,45.474806,8.306759
2741.985009,37.22,45.47484,8.306880999999999
2742.913099,37.410000000000004,45.474879,8.307001
2743.944865,37.04,45.474917999999995,8.307118
2744.973145,36.85,45.474956999999996,8.307233
2746.001105,36.29,45.474996,8.307348
2746.931283,36.29,45.475035,8.307464
2747.959123,36.29,45.475072999999995,8.307580999999999
2748.986978,36.11,45.475108999999996,8.307698
2749.910719,35.92,45.475145,8.307815999999999
2750.941155,36.11,45.475179,8.307936
2751.973202,36.660000000000004,45.475214,8.308055
2753.005265,36.660000000000004,45.475249999999996,8.308175
2753.93522,37.22,45.475288,8.308292999999999
