GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2024-04-21T03:18:41,44.9909768,7.5996380,246.2,,,0.00,0.000,0,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3731,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:18:42,44.9909755,7.5996370,246.2,,,0.00,0.000,0,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3731,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:20,44.9909138,7.5995701,247.6,,,0.00,7.492,65535,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:21,44.9908966,7.5995536,247.6,,,2.32,9.137,0,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:22,44.9908779,7.5995343,247.6,,,4.89,9.943,0,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:23,44.9908561,7.5995119,247.6,,,7.89,11.185,0,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:24,44.9908335,7.5994895,247.6,,,10.97,11.016,0,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:25,44.9908082,7.5994652,247.8,,28,14.37,12.899,146,,,,,,20,,,,,,,,,,,,,,,,146,176,,,,,,,,,,,,,0.0,0.0,,,65.0,,,,,,0.00,,,,,,,,3730,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:26,44.9907812,7.5994395,247.8,,28,17.98,12.866,150,,,,,,20,,,,,,,,,,,,,,,,146,176,,,,,,,,,,,,,0.0,0.0,,,65.0,,,,,,0.00,,,,,,,,3730,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:27,44.9907524,7.5994124,247.8,,32,21.83,14.040,150,,,,,,20,,,,,,,,,,,,,,,,446,178,,,,,,,,,,,,,0.0,0.0,,,63.5,,,,,,0.00,,,,,,,,3730,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:28,44.9907213,7.5993814,247.8,,35,26.06,15.584,170,,,,,,20,,,,,,,,,,,,,,,,616,172,,,,,,,,,,,,,0.0,0.0,,,63.5,,,,,,0.00,,,,,,,,3730,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:29,44.9906885,7.5993485,247.8,,35,30.53,16.189,193,,,,,,20,,,,,,,,,,,,,,,,616,172,,,,,,,,,,,,,0.0,0.0,,,68.0,,,,,,0.00,,,,,,,,3730,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:30,44.9906546,7.5993135,247.8,,39,35.21,16.762,193,,,,,,20,,,,,,,,,,,,,,,,1002,178,,,,,,,,,,,,,0.0,0.0,,,68.0,,,,,,0.00,,,,,,,,3730,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-04-21T03:42:31,44.9906178,7.5992771,248.0,,42,40.21,18.508,199,,,,,,20,,,,,,,,,,,,,,,,1201,180,,,,,,,,,,,,,0.0,0.0,,,63.0,,,,,,0.00,,,,,,,,3731,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
