timestamp,tkBattery,rxShifting,gear,speed,distance,raw_speed,raw_distance,latitude,longitude
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.070972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.141926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.212892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.251802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.283859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.354827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.425790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.496749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.567709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.638677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.709643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.780622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.851594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.922559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.993535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.064511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.135476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.206443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.251825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.277437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.348410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.419383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.490359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.561331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.632316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.703273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.774242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.845208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.916186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.986881,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.057851,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.128811,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.199783,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.251833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.270739,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.341710,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.412686,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.483656,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.554619,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.625596,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.696572,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.767540,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.838507,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.909581,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.980494,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.051405,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.122642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.193612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.251849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.264568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.335540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.406501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.477459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.548468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.619149,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.690113,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.761105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.832047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.903039,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003.974000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.044957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.115910,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.186865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.251872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.257813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.328793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.399759,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.470716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.541690,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.612644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.683593,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.754517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.825737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004.896702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
