timestamp,tkBattery,rxShifting,gear
0,0.0,0.0,0.0
000.000000,0.0,0.0,0.0
000.070889,0.0,0.0,0.0
000.141796,0.0,0.0,0.0
000.212708,0.0,0.0,0.0
000.283636,0.0,0.0,0.0
000.354564,0.0,0.0,0.0
000.425490,0.0,0.0,0.0
000.483853,0.0,0.0,0.0
000.496399,0.0,0.0,0.0
000.567326,0.0,0.0,0.0
000.638251,0.0,0.0,0.0
000.709168,0.0,0.0,0.0
000.780085,0.0,0.0,0.0
000.851003,0.0,0.0,0.0
000.921908,0.0,0.0,0.0
000.992821,0.0,0.0,0.0
001.063737,0.0,0.0,0.0
001.134633,0.0,0.0,0.0
001.205549,0.0,0.0,0.0
001.276471,0.0,0.0,0.0
001.347388,0.0,0.0,0.0
001.418291,0.0,0.0,0.0
001.483879,0.0,0.0,0.0
001.489215,0.0,0.0,0.0
001.560133,0.0,0.0,0.0
001.631058,0.0,0.0,0.0
001.701972,0.0,0.0,0.0
001.772892,0.0,0.0,0.0
001.843799,0.0,0.0,0.0
001.914756,0.0,0.0,0.0
001.985633,0.0,0.0,0.0
002.056550,0.0,0.0,0.0
002.127485,0.0,0.0,0.0
002.198401,0.0,0.0,0.0
002.269335,0.0,0.0,0.0
002.340255,0.0,0.0,0.0
002.411181,0.0,0.0,0.0
002.482105,0.0,0.0,0.0
002.483854,0.0,0.0,0.0
002.553046,0.0,0.0,0.0
002.623972,0.0,0.0,0.0
002.694890,0.0,0.0,0.0
002.765807,0.0,0.0,0.0
002.836735,0.0,0.0,0.0
002.907657,0.0,0.0,0.0
002.978594,0.0,0.0,0.0
003.049508,0.0,0.0,0.0
003.120429,0.0,0.0,0.0
003.191364,0.0,0.0,0.0
003.262286,0.0,0.0,0.0
003.333221,0.0,0.0,0.0
003.404148,0.0,0.0,0.0
003.475078,0.0,0.0,0.0
003.483892,0.0,0.0,0.0
003.545996,0.0,0.0,0.0
003.616923,0.0,0.0,0.0
003.687854,0.0,0.0,0.0
003.758786,0.0,0.0,0.0
003.829726,0.0,0.0,0.0
003.900641,0.0,0.0,0.0
003.971632,0.0,0.0,0.0
004.042544,0.0,0.0,0.0
004.113438,0.0,0.0,0.0
004.184363,0.0,0.0,0.0
004.255289,0.0,0.0,0.0
004.326221,0.0,0.0,0.0
004.397132,0.0,0.0,0.0
004.468025,0.0,0.0,0.0
004.483881,0.0,0.0,0.0
004.538947,0.0,0.0,0.0
004.609885,0.0,0.0,0.0
004.680798,0.0,0.0,0.0
004.751742,0.0,0.0,0.0
004.822649,0.0,0.0,0.0
004.893591,0.0,0.0,0.0
004.964510,0.0,0.0,0.0
005.035414,0.0,0.0,0.0
005.106344,0.0,0.0,0.0
005.177265,0.0,0.0,0.0
005.248184,0.0,0.0,0.0
005.319138,0.0,0.0,0.0
005.390038,0.0,0.0,0.0
005.460960,0.0,0.0,0.0
005.483931,0.0,0.0,0.0
005.531878,0.0,0.0,0.0
005.602815,0.0,0.0,0.0
005.673751,0.0,0.0,0.0
005.744712,0.0,0.0,0.0
005.815617,0.0,0.0,0.0
005.886505,0.0,0.0,0.0
005.957428,0.0,0.0,0.0
006.028349,0.0,0.0,0.0
006.099287,0.0,0.0,0.0
006.170204,0.0,0.0,0.0
006.241151,0.0,0.0,0.0
006.312105,0.0,0.0,0.0
006.383028,0.0,0.0,0.0
006.453962,0.0,0.0,0.0
006.483955,0.0,0.0,0.0
006.524885,0.0,0.0,0.0
006.595841,0.0,0.0,0.0
006.666775,0.0,0.0,0.0
006.737711,0.0,0.0,0.0
006.808643,0.0,0.0,0.0
006.879558,0.0,0.0,0.0
006.950485,0.0,0.0,0.0
007.021412,0.0,0.0,0.0
007.092345,0.0,0.0,0.0
007.163279,0.0,0.0,0.0
007.234234,0.0,0.0,0.0
007.305161,0.0,0.0,0.0
007.376114,0.0,0.0,0.0
007.447022,0.0,0.0,0.0
007.483949,0.0,0.0,0.0
007.517954,0.0,0.0,0.0
007.588903,0.0,0.0,0.0
007.659815,0.0,0.0,0.0
007.730752,0.0,0.0,0.0
007.801697,0.0,0.0,0.0
007.872677,0.0,0.0,0.0
007.943594,0.0,0.0,0.0
008.014529,0.0,0.0,0.0
008.085464,0.0,0.0,0.0
008.156386,0.0,0.0,0.0
008.227298,0.0,0.0,0.0
008.298213,0.0,0.0,0.0
008.369134,0.0,0.0,0.0
008.440050,0.0,0.0,0.0
008.483978,0.0,0.0,0.0
008.510978,0.0,0.0,0.0
008.581915,0.0,0.0,0.0
008.652846,0.0,0.0,0.0
008.723765,0.0,0.0,0.0
008.794711,0.0,0.0,0.0
008.865638,0.0,0.0,0.0
008.936553,0.0,0.0,0.0
009.007474,0.0,0.0,0.0
009.078382,0.0,0.0,0.0
009.149290,0.0,0.0,0.0
009.220223,0.0,0.0,0.0
009.291147,0.0,0.0,0.0
009.362095,0.0,0.0,0.0
009.433046,0.0,0.0,0.0
009.484009,0.0,0.0,0.0
009.503951,0.0,0.0,0.0
009.574883,0.0,0.0,0.0
009.645829,0.0,0.0,0.0
009.716754,0.0,0.0,0.0
009.787660,0.0,0.0,0.0
009.858614,0.0,0.0,0.0
009.929518,0.0,0.0,0.0
010.000436,0.0,0.0,0.0
010.071365,0.0,0.0,0.0
010.142322,0.0,0.0,0.0
010.213250,0.0,0.0,0.0
010.284179,0.0,0.0,0.0
010.355159,0.0,0.0,0.0
010.426061,0.0,0.0,0.0
010.484020,0.0,0.0,0.0
010.496965,0.0,0.0,0.0
010.567868,0.0,0.0,0.0
010.638808,0.0,0.0,0.0
010.709717,0.0,0.0,0.0
010.780658,0.0,0.0,0.0
010.851580,0.0,0.0,0.0
010.922521,0.0,0.0,0.0
010.993476,0.0,0.0,0.0
011.064407,0.0,0.0,0.0
011.135325,0.0,0.0,0.0
011.206259,0.0,0.0,0.0
011.277183,0.0,0.0,0.0
011.348109,0.0,0.0,0.0
011.419035,0.0,0.0,0.0
011.484027,0.0,0.0,0.0
011.489937,0.0,0.0,0.0
011.560875,0.0,0.0,0.0
011.631799,0.0,0.0,0.0
011.702750,0.0,0.0,0.0
011.773674,0.0,0.0,0.0
011.844606,0.0,0.0,0.0
011.915529,0.0,0.0,0.0
011.986480,0.0,0.0,0.0
012.057400,0.0,0.0,0.0
012.128306,0.0,0.0,0.0
012.199214,0.0,0.0,0.0
012.270138,0.0,0.0,0.0
012.341084,0.0,0.0,0.0
012.412005,0.0,0.0,0.0
012.482959,0.0,0.0,0.0
012.483997,0.0,0.0,0.0
012.553914,0.0,0.0,0.0
012.624858,0.0,0.0,0.0
012.695772,0.0,0.0,0.0
012.766699,0.0,0.0,0.0
012.837634,0.0,0.0,0.0
012.908558,0.0,0.0,0.0
012.979469,0.0,0.0,0.0
013.050392,0.0,0.0,0.0
013.121309,0.0,0.0,0.0
013.192234,0.0,0.0,0.0
013.263156,0.0,0.0,0.0
013.334099,0.0,0.0,0.0
013.405022,0.0,0.0,0.0
013.475953,0.0,0.0,0.0
013.484068,0.0,0.0,0.0
013.546876,0.0,0.0,0.0
013.617796,0.0,0.0,0.0
013.688696,0.0,0.0,0.0
013.759608,0.0,0.0,0.0
013.830523,0.0,0.0,0.0
013.901438,0.0,0.0,0.0
013.972358,0.0,0.0,0.0
014.043314,0.0,0.0,0.0
014.114240,0.0,0.0,0.0
014.185137,0.0,0.0,0.0
014.256077,0.0,0.0,0.0
014.327008,0.0,0.0,0.0
014.397934,0.0,0.0,0.0
014.468853,0.0,0.0,0.0
014.484087,0.0,0.0,0.0
014.539779,0.0,0.0,0.0
014.610692,0.0,0.0,0.0
014.681601,0.0,0.0,0.0
014.752530,0.0,0.0,0.0
014.823458,0.0,0.0,0.0
014.894384,0.0,0.0,0.0
014.965326,0.0,0.0,0.0
015.036244,0.0,0.0,0.0
015.107153,0.0,0.0,0.0
015.178100,0.0,0.0,0.0
015.248988,0.0,0.0,0.0
015.319904,0.0,0.0,0.0
015.390802,0.0,0.0,0.0
015.461729,0.0,0.0,0.0
015.484047,0.0,0.0,0.0
015.532647,0.0,0.0,0.0
015.603583,0.0,0.0,0.0
015.674540,0.0,0.0,0.0
015.745440,0.0,0.0,0.0
015.816387,0.0,0.0,0.0
015.887302,0.0,0.0,0.0
015.958228,0.0,0.0,0.0
016.029163,0.0,0.0,0.0
016.100086,0.0,0.0,0.0
016.171012,0.0,0.0,0.0
016.241940,0.0,0.0,0.0
016.312867,0.0,0.0,0.0
016.383786,0.0,0.0,0.0
016.454720,0.0,0.0,0.0
016.484106,0.0,0.0,0.0
016.525644,0.0,0.0,0.0
016.596568,0.0,0.0,0.0
016.667499,0.0,0.0,0.0
016.738436,0.0,0.0,0.0
016.809334,0.0,0.0,0.0
016.880257,0.0,0.0,0.0
016.951165,0.0,0.0,0.0
017.022076,0.0,0.0,0.0
017.093014,0.0,0.0,0.0
017.163948,0.0,0.0,0.0
017.234861,0.0,0.0,0.0
017.305795,0.0,0.0,0.0
017.376724,0.0,0.0,0.0
017.447653,0.0,0.0,0.0
017.484069,0.0,0.0,0.0
017.518579,0.0,0.0,0.0
017.589528,0.0,0.0,0.0
017.660451,0.0,0.0,0.0
017.731384,0.0,0.0,0.0
017.802320,0.0,0.0,0.0
017.873239,0.0,0.0,0.0
017.944170,0.0,0.0,0.0
018.015106,0.0,0.0,0.0
018.086040,0.0,0.0,0.0
018.156959,0.0,0.0,0.0
018.227885,0.0,0.0,0.0
018.298841,0.0,0.0,0.0
018.369768,0.0,0.0,0.0
018.440691,0.0,0.0,0.0
018.484086,0.0,0.0,0.0
018.511626,0.0,0.0,0.0
018.582572,0.0,0.0,0.0
018.653494,0.0,0.0,0.0
018.724423,0.0,0.0,0.0
018.795364,0.0,0.0,0.0
018.866288,0.0,0.0,0.0
018.937224,0.0,0.0,0.0
019.008147,0.0,0.0,0.0
019.079077,0.0,0.0,0.0
019.149989,0.0,0.0,0.0
019.220921,0.0,0.0,0.0
019.291850,0.0,0.0,0.0
019.362776,0.0,0.0,0.0
019.433701,0.0,0.0,0.0
019.484102,0.0,0.0,0.0
019.504626,0.0,0.0,0.0
019.575590,0.0,0.0,0.0
019.646488,0.0,0.0,0.0
019.717395,0.0,0.0,0.0
019.788331,0.0,0.0,0.0
019.859259,0.0,0.0,0.0
019.930162,0.0,0.0,0.0
020.001084,0.0,0.0,0.0
020.072027,0.0,0.0,0.0
020.142944,0.0,0.0,0.0
020.213856,0.0,0.0,0.0
020.284772,0.0,0.0,0.0
020.355715,0.0,0.0,0.0
020.426616,0.0,0.0,0.0
020.484130,0.0,0.0,0.0
020.497539,0.0,0.0,0.0
020.568470,0.0,0.0,0.0
020.639380,0.0,0.0,0.0
020.710314,0.0,0.0,0.0
020.781254,0.0,0.0,0.0
020.852189,0.0,0.0,0.0
020.923111,0.0,0.0,0.0
020.994032,0.0,0.0,0.0
021.064970,0.0,0.0,0.0
021.135880,0.0,0.0,0.0
021.206799,0.0,0.0,0.0
021.277719,0.0,0.0,0.0
021.348651,0.0,0.0,0.0
021.419563,0.0,0.0,0.0
021.484131,0.0,0.0,0.0
021.490483,0.0,0.0,0.0
021.561419,0.0,0.0,0.0
021.632331,0.0,0.0,0.0
021.703262,0.0,0.0,0.0
021.774217,0.0,0.0,0.0
021.845146,0.0,0.0,0.0
021.916056,0.0,0.0,0.0
021.986979,0.0,0.0,0.0
022.057909,0.0,0.0,0.0
022.128831,0.0,0.0,0.0
022.199741,0.0,0.0,0.0
022.270667,0.0,0.0,0.0
022.341608,0.0,0.0,0.0
022.412519,0.0,0.0,0.0
022.483447,0.0,0.0,0.0
022.484138,0.0,0.0,0.0
022.554387,0.0,0.0,0.0
022.625301,0.0,0.0,0.0
022.696225,0.0,0.0,0.0
022.767154,0.0,0.0,0.0
022.838086,0.0,0.0,0.0
022.909011,0.0,0.0,0.0
022.979928,0.0,0.0,0.0
023.050877,0.0,0.0,0.0
023.121794,0.0,0.0,0.0
023.192712,0.0,0.0,0.0
023.263647,0.0,0.0,0.0
023.334571,0.0,0.0,0.0
023.405488,0.0,0.0,0.0
023.476421,0.0,0.0,0.0
023.492162,0.0,0.0,0.0
023.547348,0.0,0.0,0.0
023.618264,0.0,0.0,0.0
023.689177,0.0,0.0,0.0
023.760110,0.0,0.0,0.0
023.831051,0.0,0.0,0.0
023.901967,0.0,0.0,0.0
023.972899,0.0,0.0,0.0
024.043843,0.0,0.0,0.0
024.114767,0.0,0.0,0.0
024.185695,0.0,0.0,0.0
024.256618,0.0,0.0,0.0
024.327564,0.0,0.0,0.0
024.398484,0.0,0.0,0.0
024.469413,0.0,0.0,0.0
024.492173,0.0,0.0,0.0
024.540337,0.0,0.0,0.0
024.611278,0.0,0.0,0.0
024.682200,0.0,0.0,0.0
024.753127,0.0,0.0,0.0
024.824081,0.0,0.0,0.0
024.895008,0.0,0.0,0.0
024.965935,0.0,0.0,0.0
025.036890,0.0,0.0,0.0
025.107826,0.0,0.0,0.0
025.178758,0.0,0.0,0.0
025.249690,0.0,0.0,0.0
025.320622,0.0,0.0,0.0
025.391540,0.0,0.0,0.0
025.462459,0.0,0.0,0.0
025.492191,0.0,0.0,0.0
025.533399,0.0,0.0,0.0
025.604326,0.0,0.0,0.0
025.675246,0.0,0.0,0.0
025.746193,0.0,0.0,0.0
025.817117,0.0,0.0,0.0
025.888060,0.0,0.0,0.0
025.958969,0.0,0.0,0.0
026.029902,0.0,0.0,0.0
026.100817,0.0,0.0,0.0
026.171732,0.0,0.0,0.0
026.242681,0.0,0.0,0.0
026.313604,0.0,0.0,0.0
026.384509,0.0,0.0,0.0
026.455448,0.0,0.0,0.0
026.492200,0.0,0.0,0.0
026.526373,0.0,0.0,0.0
026.597309,0.0,0.0,0.0
026.668224,0.0,0.0,0.0
026.739152,0.0,0.0,0.0
026.810086,0.0,0.0,0.0
026.881004,0.0,0.0,0.0
026.951921,0.0,0.0,0.0
027.022847,0.0,0.0,0.0
027.093781,0.0,0.0,0.0
027.164692,0.0,0.0,0.0
027.235621,0.0,0.0,0.0
