timestamp,power,instant_power,cadence,avg_heartrate
2025-06-13 15:29:32,148.0,149.0,89.0,164.5
2025-06-13 15:29:33,145.5,143.0,89.0,165.0
2025-06-13 15:29:34,151.0,162.0,89.0,165.0
2025-06-13 15:29:35,157.0,169.0,89.75,165.0
2025-06-13 15:29:36,169.0,167.0,90.0,165.0
2025-06-13 15:29:37,168.66666666666666,166.66666666666666,90.0,165.66666666666666
2025-06-13 15:29:38,166.0,160.0,89.33333333333333,165.33333333333334
2025-06-13 15:29:39,161.5,160.0,90.0,165.5
2025-06-13 15:29:40,160.0,161.5,90.0,165.0
2025-06-13 15:29:41,162.0,165.0,90.0,166.0
2025-06-13 15:29:42,161.4,158.2,90.0,166.0
2025-06-13 15:29:44,157.33333333333334,154.0,89.33333333333333,166.0
2025-06-13 15:29:45,148.33333333333334,142.33333333333334,88.66666666666667,166.0
2025-06-13 15:29:46,145.5,154.0,91.0,166.0
2025-06-13 15:29:47,153.0,160.75,91.0,165.75
2025-06-13 15:29:48,162.0,167.0,91.0,166.0
2025-06-13 15:29:49,164.0,164.0,91.0,166.0
2025-06-13 15:29:50,163.0,155.0,90.0,166.0
2025-06-13 15:29:51,155.0,145.0,90.0,166.0
2025-06-13 15:29:52,151.0,151.0,90.0,166.0
2025-06-13 15:29:53,149.66666666666666,148.66666666666666,90.33333333333331,166.0
2025-06-13 15:29:54,153.0,154.0,91.0,166.0
2025-06-13 15:29:55,150.0,148.0,90.0,166.0
2025-06-13 15:29:56,150.25,148.75,90.0,166.5
2025-06-13 15:29:58,149.0,148.66666666666666,90.33333333333331,167.0
2025-06-13 15:29:59,149.0,150.0,91.0,167.0
2025-06-13 15:30:00,151.0,155.0,90.66666666666669,166.33333333333334
2025-06-13 15:30:01,152.33333333333334,153.0,90.33333333333331,167.0
2025-06-13 15:30:02,152.0,148.0,91.0,167.0
2025-06-13 15:30:03,149.0,142.75,91.0,167.0
2025-06-13 15:30:05,142.5,144.75,90.25,167.0
2025-06-13 15:30:06,149.0,160.0,91.0,167.0
2025-06-13 15:30:07,153.66666666666666,154.0,91.0,167.5
2025-06-13 15:30:08,154.33333333333334,153.0,91.0,167.0
2025-06-13 15:30:09,154.0,156.0,91.0,167.5
2025-06-13 15:30:10,153.5,152.0,91.0,168.0
2025-06-13 15:30:11,151.0,145.0,91.0,168.0
2025-06-13 15:30:12,142.25,133.0,90.0,168.0
2025-06-13 15:30:13,139.0,140.0,91.0,167.66666666666666
2025-06-13 15:30:14,140.66666666666666,145.0,91.0,167.66666666666666
2025-06-13 15:30:15,143.66666666666666,146.66666666666666,90.66666666666669,168.0
2025-06-13 15:30:16,146.0,145.0,91.0,167.0
